Date,Region,Crop_Type,Rainfall_mm,Temperature_C,Soil_Moisture,Fertilizer_Used,Pest_Presence,Disease_Presence
1/1/2022,Greater Accra,Rice,30.63,27.1,0.43,Yes,0,0
1/2/2022,Northern,Cocoa,37.38,25.5,0.2,Yes,0,1
1/2/2022,Volta,Cassava,43.34,30.2,0.48,Yes,0,1
1/2/2022,Western,Rice,60.45,26.9,0.62,No,1,1
1/2/2022,Western,Cassava,63.69,28.7,0.56,Yes,1,1
1/3/2022,Ashanti,Rice,46.55,29.9,0.33,Yes,0,0
1/3/2022,Northern,Cocoa,27.22,32.5,0.28,No,0,1
1/3/2022,Ashanti,Rice,54.23,24.3,0.63,No,1,1
1/3/2022,Western,Maize,44.8,31,0.54,Yes,0,1
1/4/2022,Northern,Maize,34.82,28.7,0.17,Yes,1,1
1/4/2022,Ashanti,Cocoa,42.89,29.6,0.46,Yes,0,0
1/5/2022,Western,Rice,36.36,28.5,0.6,Yes,0,1
1/5/2022,Ashanti,Maize,56.56,27.9,0.57,No,0,1
1/5/2022,Volta,Cocoa,45.7,26.8,0.35,Yes,0,1
1/5/2022,Greater Accra,Cocoa,29.04,31.7,0.28,Yes,0,1
1/6/2022,Ashanti,Cocoa,58.75,30.5,0.52,No,1,1
1/6/2022,Western,Yam,57.36,25.5,0.43,Yes,0,1
1/6/2022,Ashanti,Rice,50,27.6,0.38,Yes,0,1
1/6/2022,Volta,Maize,46.36,29.8,0.39,No,0,1
1/7/2022,Volta,Cocoa,49.66,31.2,0.24,Yes,0,1
1/7/2022,Ashanti,Maize,49.75,24.4,0.32,No,1,1
1/7/2022,Northern,Rice,41.75,32.4,0.16,Yes,0,0
1/7/2022,Greater Accra,Rice,22.22,27.7,0.22,No,0,1
1/8/2022,Northern,Rice,26.08,29.8,0.2,No,1,0
1/8/2022,Volta,Cocoa,38.19,24.8,0.36,Yes,0,0
1/8/2022,Northern,Maize,39.98,33,0.46,Yes,0,1
1/9/2022,Volta,Rice,31.8,30.8,0.42,Yes,1,1
1/9/2022,Volta,Cocoa,45.24,26.8,0.32,Yes,0,1
1/10/2022,Northern,Cassava,27.53,30.7,0.19,Yes,0,0
1/10/2022,Northern,Cassava,30.89,32.1,0.14,No,0,1
1/10/2022,Western,Cocoa,51.92,28.1,0.49,No,0,1
1/10/2022,Volta,Maize,40.73,31.6,0.33,Yes,1,1
1/11/2022,Western,Cassava,48.51,31.3,0.42,Yes,1,0
1/11/2022,Western,Cocoa,55.05,26.5,0.5,Yes,1,1
1/11/2022,Volta,Cassava,54.85,29.1,0.47,Yes,1,1
1/13/2022,Ashanti,Maize,42.59,27,0.5,Yes,1,1
1/13/2022,Greater Accra,Rice,20.41,31.3,0.33,Yes,0,1
1/14/2022,Northern,Cassava,33.07,33.6,0.45,Yes,0,0
1/14/2022,Ashanti,Cocoa,59.68,30.4,0.51,Yes,0,1
1/15/2022,Volta,Cassava,42.72,29.8,0.28,Yes,0,0
1/15/2022,Ashanti,Maize,55.8,27.7,0.52,Yes,1,1
1/17/2022,Ashanti,Maize,44.77,29.2,0.43,No,1,1
1/17/2022,Greater Accra,Cassava,25.48,29.1,0.25,Yes,0,0
1/17/2022,Northern,Cocoa,24.89,33,0.24,Yes,0,0
1/18/2022,Northern,Yam,32.43,30.5,0.37,Yes,0,0
1/18/2022,Northern,Cocoa,26.45,29.8,0.21,Yes,1,1
1/18/2022,Western,Yam,43.94,23.9,0.58,No,0,1
1/18/2022,Northern,Cocoa,24.15,32.2,0.13,Yes,0,0
1/18/2022,Volta,Rice,44.51,27.3,0.38,No,0,1
1/19/2022,Greater Accra,Cassava,21.84,32.4,0.43,Yes,0,0
1/20/2022,Ashanti,Rice,46.49,25.5,0.46,Yes,0,0
1/20/2022,Greater Accra,Cocoa,30.2,32.2,0.18,Yes,0,0
1/20/2022,Western,Maize,66.01,27.4,0.61,Yes,1,1
1/20/2022,Greater Accra,Rice,22.13,,,,0,1
1/20/2022,Greater Accra,Cocoa,20.91,,,,0,0
1/21/2022,Northern,Rice,33.49,,,,0,0
1/21/2022,Western,Yam,65.45,,,,0,0
1/21/2022,Ashanti,Rice,43.28,,,,0,1
1/21/2022,Western,Cocoa,53.77,,,,0,1
1/22/2022,Volta,Cocoa,40.09,30.2,0.36,No,1,1
1/22/2022,Volta,Cassava,39.48,28.5,0.39,Yes,0,1
1/22/2022,Northern,Maize,28.39,33.3,0.19,Yes,0,0
1/22/2022,Western,Maize,40.04,27,0.7,Yes,0,1
1/23/2022,Northern,Maize,28.08,34.7,0.3,No,0,0
1/24/2022,Volta,Cocoa,37.3,24.4,0.36,Yes,0,1
1/24/2022,Greater Accra,Cassava,24.9,28.7,0.19,No,0,1
1/24/2022,Volta,Cassava,35.04,27.5,0.51,Yes,0,1
1/24/2022,Northern,Rice,25.6,32.1,0.32,No,1,1
1/25/2022,Northern,Cassava,29.9,32,0.33,No,0,0
1/25/2022,Greater Accra,Maize,21.57,27.4,0.26,No,1,1
1/25/2022,Greater Accra,Cocoa,24.83,31,0.31,No,1,1
1/25/2022,Greater Accra,Maize,27.9,28.7,0.27,Yes,0,0
1/26/2022,Northern,Yam,40.4,34.1,0.3,No,0,0
1/26/2022,Greater Accra,Cocoa,28.12,30.1,0.22,No,0,0
1/27/2022,Volta,Cocoa,,,,,,1
1/27/2022,Ashanti,Cassava,,,,,,1
1/27/2022,Western,Cassava,,,,,,1
1/27/2022,Ashanti,Cocoa,,,,,,1
1/27/2022,Western,Maize,,,,,,
1/27/2022,Northern,Cocoa,30.57,29.8,0.39,Yes,1,
1/28/2022,Western,Rice,51.32,26,0.53,Yes,0,
